Ticker
APA
ARW
AVT
BA
BAX
BBY
BMY
BWA
CAG
CMCSA
COF
CPB
CVS
D
DAL
DVN
EMN
EXPE
FDX
GIS
HAL
HPQ
HST
INTC
IP
KHC
KMI
LUV
MET
NEE
OMC
ORCL
OVV
OXY
PRU
SPG
SRE
TECK
TGT
TSN
VRZN
